"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Number","Estimated annual rate per 10,000"
"2023","Citywide","1","0","-","-","New York City","New York City","2,558","21.8"
"2023","Borough","1","1","1","Bronx","Bronx","Bronx","986","41.6"
"2023","Borough","3","1","3","Manhattan","Manhattan","Manhattan","391","25.5"
"2023","Borough","4","1","4","Queens","Queens","Queens","492","15.8"
"2023","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","619","15.7"
"2023","Borough","5","1","5","Staten Island","Staten Island","Staten Island","70","8.9"
"2022","Citywide","1","0","-","-","New York City","New York City","2,387","19.9"
"2022","Borough","1","1","1","Bronx","Bronx","Bronx","936","38.5"
"2022","Borough","3","1","3","Manhattan","Manhattan","Manhattan","343","22.0"
"2022","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","627","15.5"
"2022","Borough","4","1","4","Queens","Queens","Queens","386","12.1"
"2022","Borough","5","1","5","Staten Island","Staten Island","Staten Island","95","12.0"
"2021","Citywide","1","0","-","-","New York City","New York City","1,623","13.2"
"2021","Borough","1","1","1","Bronx","Bronx","Bronx","645","25.7"
"2021","Borough","3","1","3","Manhattan","Manhattan","Manhattan","242","15.2"
"2021","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","433","10.5"
"2021","Borough","4","1","4","Queens","Queens","Queens","251","7.7"
"2021","Borough","5","1","5","Staten Island","Staten Island","Staten Island","52","6.6"
"2020","Citywide","1","0","-","-","New York City","New York City","1,056","8.3"
"2020","Borough","1","1","1","Bronx","Bronx","Bronx","415","15.9"
"2020","Borough","3","1","3","Manhattan","Manhattan","Manhattan","148","9.0"
"2020","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","325","7.6"
"2020","Borough","5","1","5","Staten Island","Staten Island","Staten Island","33","4.1"
"2020","Borough","4","1","4","Queens","Queens","Queens","135","4.0"
"2019","Citywide","1","0","-","-","New York City","New York City","2,471","19.8"
"2019","Borough","1","1","1","Bronx","Bronx","Bronx","883","33.8"
"2019","Borough","3","1","3","Manhattan","Manhattan","Manhattan","306","18.6"
"2019","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","753","18.2"
"2019","Borough","4","1","4","Queens","Queens","Queens","433","13.2"
"2019","Borough","5","1","5","Staten Island","Staten Island","Staten Island","96","12.0"
"2018","Citywide","1","0","-","-","New York City","New York City","2,984","25.1"
"2018","Borough","1","1","1","Bronx","Bronx","Bronx","1,042","41.6"
"2018","Borough","3","1","3","Manhattan","Manhattan","Manhattan","412","26.5"
"2018","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","887","22.4"
"2018","Borough","4","1","4","Queens","Queens","Queens","524","16.7"
"2018","Borough","5","1","5","Staten Island","Staten Island","Staten Island","119","15.7"
"2017","Citywide","1","0","-","-","New York City","New York City","2,783","22.2"
"2017","Borough","1","1","1","Bronx","Bronx","Bronx","1,060","40.1"
"2017","Borough","3","1","3","Manhattan","Manhattan","Manhattan","390","24.0"
"2017","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","800","19.2"
"2017","Borough","4","1","4","Queens","Queens","Queens","437","13.2"
"2017","Borough","5","1","5","Staten Island","Staten Island","Staten Island","96","12.0"
"2016","Citywide","1","0","-","-","New York City","New York City","3,373","27.2"
"2016","Borough","1","1","1","Bronx","Bronx","Bronx","1,340","51.1"
"2016","Borough","3","1","3","Manhattan","Manhattan","Manhattan","440","27.9"
"2016","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","990","24.1"
"2016","Borough","4","1","4","Queens","Queens","Queens","506","15.4"
"2016","Borough","5","1","5","Staten Island","Staten Island","Staten Island","97","12.4"
"2015","Citywide","1","0","-","-","New York City","New York City","3,547","28.9"
"2015","Borough","1","1","1","Bronx","Bronx","Bronx","1,489","57.6"
"2015","Borough","3","1","3","Manhattan","Manhattan","Manhattan","421","26.8"
"2015","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","994","24.3"
"2015","Borough","4","1","4","Queens","Queens","Queens","540","16.6"
"2015","Borough","5","1","5","Staten Island","Staten Island","Staten Island","103","13.4"
"2014","Citywide","1","0","-","-","New York City","New York City","4,106","33.5"
"2014","Borough","1","1","1","Bronx","Bronx","Bronx","1,691","65.6"
"2014","Borough","3","1","3","Manhattan","Manhattan","Manhattan","482","30.9"
"2014","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,155","28.2"
"2014","Borough","4","1","4","Queens","Queens","Queens","663","20.4"
"2014","Borough","5","1","5","Staten Island","Staten Island","Staten Island","115","14.8"
"2013","Citywide","1","0","-","-","New York City","New York City","3,869","31.5"
"2013","Borough","1","1","1","Bronx","Bronx","Bronx","1,592","61.4"
"2013","Borough","3","1","3","Manhattan","Manhattan","Manhattan","455","29.1"
"2013","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,126","27.4"
"2013","Borough","4","1","4","Queens","Queens","Queens","591","18.2"
"2013","Borough","5","1","5","Staten Island","Staten Island","Staten Island","105","13.4"
"2012","Citywide","1","0","-","-","New York City","New York City","3,947","32.0"
"2012","Borough","1","1","1","Bronx","Bronx","Bronx","1,588","61.0"
"2012","Borough","3","1","3","Manhattan","Manhattan","Manhattan","462","29.5"
"2012","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,193","29.0"
"2012","Borough","4","1","4","Queens","Queens","Queens","600","18.4"
"2012","Borough","5","1","5","Staten Island","Staten Island","Staten Island","104","13.2"
"2011","Citywide","1","0","-","-","New York City","New York City","3,652","29.5"
"2011","Borough","1","1","1","Bronx","Bronx","Bronx","1,446","55.2"
"2011","Borough","3","1","3","Manhattan","Manhattan","Manhattan","431","27.5"
"2011","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,100","26.6"
"2011","Borough","4","1","4","Queens","Queens","Queens","578","17.7"
"2011","Borough","5","1","5","Staten Island","Staten Island","Staten Island","97","12.2"
"2010","Citywide","1","0","-","-","New York City","New York City","3,563","28.3"
"2010","Borough","1","1","1","Bronx","Bronx","Bronx","1,311","49.5"
"2010","Borough","3","1","3","Manhattan","Manhattan","Manhattan","418","26.5"
"2010","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,032","24.3"
"2010","Borough","4","1","4","Queens","Queens","Queens","690","20.8"
"2010","Borough","5","1","5","Staten Island","Staten Island","Staten Island","112","13.9"
"2009","Citywide","1","0","-","-","New York City","New York City","4,189","33.2"
"2009","Borough","1","1","1","Bronx","Bronx","Bronx","1,552","58.2"
"2009","Borough","3","1","3","Manhattan","Manhattan","Manhattan","508","31.9"
"2009","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","1,231","29.0"
"2009","Borough","4","1","4","Queens","Queens","Queens","779","23.6"
"2009","Borough","5","1","5","Staten Island","Staten Island","Staten Island","119","14.7"